date,tax,loan,business,rent,college,apartments,office,insurance,Business plan templates,Small business ideas,How to start a small business,office space for rent,website hosting service,freelancing,side hustle,ecommerce
2018-02-28,41.0,10.0,26.0,31.0,50.0,47.0,87.0,53.0,0.0,0.0,22.0,13.0,0.0,8.0,24.0,79.0
2018-03-31,37.25,9.75,25.25,29.5,49.5,43.25,85.0,50.75,0.0,0.0,7.5,33.5,0.0,8.25,25.5,70.0
2018-04-30,39.4,10.2,25.2,30.6,51.0,45.0,90.6,49.8,0.0,0.0,9.0,29.0,1.4,11.0,25.6,65.6
2018-05-31,19.75,10.0,23.5,30.25,49.75,43.25,83.0,48.5,0.0,0.0,7.25,35.5,0.0,7.0,24.25,64.0
2018-06-30,19.0,9.75,23.5,32.0,44.5,45.25,84.75,50.0,0.0,0.0,3.75,33.75,0.0,13.75,16.0,66.75
2018-07-31,18.6,10.6,23.2,33.2,42.8,48.6,86.6,51.0,0.0,0.0,5.4,31.4,0.0,10.2,16.6,59.6
2018-08-31,19.5,10.5,24.0,31.0,60.75,44.0,93.0,51.5,0.0,0.0,8.0,39.0,0.0,1.75,19.5,69.25
2018-09-30,20.2,9.6,24.6,27.8,57.0,39.2,84.4,49.4,0.0,0.0,4.0,41.8,2.2,9.8,26.8,69.0
2018-10-31,22.25,9.5,24.5,25.75,53.0,33.25,83.0,47.0,0.0,0.0,3.25,36.0,0.0,8.5,19.25,63.75
2018-11-30,20.25,8.75,22.0,25.25,53.75,32.25,80.0,47.25,0.0,0.0,6.75,26.5,6.25,7.0,11.5,53.75
2018-12-31,22.6,9.0,20.6,25.6,48.2,33.2,85.0,45.6,0.0,0.0,3.2,32.6,3.2,8.0,22.0,64.4
2019-01-31,36.75,10.25,25.75,31.25,56.5,40.0,87.5,52.0,0.0,0.0,11.25,32.25,1.25,5.25,24.5,70.75
2019-02-28,47.5,10.0,25.25,29.25,48.25,41.25,81.0,49.75,0.0,0.0,20.25,41.75,0.0,6.75,17.25,69.75
